event_id,trip_id,leg_no,vehicle_id,occurred_at,event_type,lat,lon,speed_kmh,laden
E0015922,T00182,1,GLV-T11,2026-06-10 06:57:30,급출발,35.739915,129.222541,80.6,0
E0015923,T00182,1,GLV-T11,2026-06-10 07:02:10,급정지,35.778798,129.200834,80.1,0
E0015924,T00182,1,GLV-T11,2026-06-10 07:10:50,급감속,35.82233,129.130329,44.3,0
E0015925,T00182,1,GLV-T11,2026-06-10 07:12:40,급정지,35.828538,129.12034,35.7,0
E0015926,T00182,1,GLV-T11,2026-06-10 07:19:40,급가속,35.881128,129.054637,71.8,0
E0015927,T00182,1,GLV-T11,2026-06-10 07:27:30,급가속,35.931387,128.974749,78.4,0
E0015928,T00182,1,GLV-T11,2026-06-10 07:43:20,급출발,35.873825,128.796734,61.8,0
E0015929,T00182,1,GLV-T11,2026-06-10 07:46:10,급가속,35.874911,128.818039,21.7,0
E0015930,T00182,1,GLV-T11,2026-06-10 07:48:20,급정지,35.876126,128.825007,16,0
E0015931,T00182,1,GLV-T11,2026-06-10 07:48:20,급정지,35.876135,128.825006,16.6,0
E0015932,T00182,1,GLV-T11,2026-06-10 07:48:40,급가속,35.875291,128.82496,16.5,0
E0015933,T00182,1,GLV-T11,2026-06-10 07:49:10,급감속,35.873912,128.824973,16.1,0
E0015934,T00182,1,GLV-T11,2026-06-10 07:50:50,급감속,35.870412,128.824903,9.3,0
E0015935,T00182,2,GLV-T11,2026-06-10 08:44:30,급출발,35.876538,128.824423,17,1
E0015936,T00182,2,GLV-T11,2026-06-10 08:45:10,급출발,35.876076,128.821502,6,1
E0015937,T00182,2,GLV-T11,2026-06-10 08:47:00,급출발,35.874594,128.814889,27,1
E0015938,T00182,2,GLV-T11,2026-06-10 08:47:10,급가속,35.874466,128.814211,18.1,1
E0015939,T00182,2,GLV-T11,2026-06-10 09:01:30,급가속,35.841184,128.689575,43.1,1
E0015940,T00182,2,GLV-T11,2026-06-10 09:02:00,급가속,35.838255,128.690524,34.1,1
E0015941,T00182,2,GLV-T11,2026-06-10 09:02:30,급가속,35.835851,128.692413,49.7,1
E0015942,T00182,2,GLV-T11,2026-06-10 09:05:30,급가속,35.817963,128.7191,87,1
E0015943,T00182,2,GLV-T11,2026-06-10 09:17:10,급가속,35.690081,128.739996,79.2,1
E0015944,T00182,2,GLV-T11,2026-06-10 09:28:00,급감속,35.571596,128.77631,87.6,1
E0015945,T00182,2,GLV-T11,2026-06-10 09:31:00,급가속,35.539081,128.792655,78.6,1
E0015946,T00182,2,GLV-T11,2026-06-10 09:37:10,급가속,35.472208,128.773936,79.1,1
E0015947,T00182,2,GLV-T11,2026-06-10 09:47:20,급가속,35.377521,128.847686,88.1,1
E0015948,T00182,2,GLV-T11,2026-06-10 09:48:40,급감속,35.36389,128.857136,72.4,1
E0015949,T00182,2,GLV-T11,2026-06-10 09:51:50,급감속,35.359348,128.900113,79.6,1
E0015950,T00182,2,GLV-T11,2026-06-10 10:09:00,급가속,35.227458,128.937101,32.1,1
E0015951,T00182,2,GLV-T11,2026-06-10 10:09:50,급감속,35.224192,128.933033,42.8,1
E0015952,T00182,2,GLV-T11,2026-06-10 10:10:30,급출발,35.22245,128.930591,28.9,1
E0015953,T00182,2,GLV-T11,2026-06-10 10:10:40,급정지,35.221801,128.92992,38.3,1
E0015954,T00182,2,GLV-T11,2026-06-10 10:14:30,급감속,35.194614,128.894668,74.8,1
E0015955,T00182,2,GLV-T11,2026-06-10 10:15:00,급가속,35.189508,128.897919,87.2,1
E0015956,T00182,2,GLV-T11,2026-06-10 10:19:30,급감속,35.145122,128.876259,83.6,1
E0015957,T00182,2,GLV-T11,2026-06-10 10:21:20,급감속,35.130236,128.859192,72,1
E0015958,T00182,2,GLV-T11,2026-06-10 10:21:50,급가속,35.12646,128.854033,85.3,1
E0015959,T00182,2,GLV-T11,2026-06-10 10:25:30,급감속,35.099109,128.834493,25.7,1
E0015960,T00182,2,GLV-T11,2026-06-10 10:25:40,급정지,35.098531,128.834483,25.9,1
E0015961,T00182,2,GLV-T11,2026-06-10 10:25:50,급정지,35.097785,128.834594,20.5,1
E0015962,T00182,2,GLV-T11,2026-06-10 10:27:50,급정지,35.092414,128.834577,19.9,1
E0015963,T00182,2,GLV-T11,2026-06-10 10:28:00,급감속,35.092001,128.834605,16.8,1
E0015964,T00182,2,GLV-T11,2026-06-10 10:28:40,급감속,35.090127,128.834514,17.6,1
E0015965,T00182,2,GLV-T11,2026-06-10 10:29:40,급감속,35.088202,128.834526,21.9,1
E0015966,T00183,1,GLV-T11,2026-06-14 08:34:00,급가속,35.695973,129.331795,10.5,0
E0015967,T00183,1,GLV-T11,2026-06-14 08:34:00,급출발,35.695979,129.331744,10.9,0
E0015968,T00183,1,GLV-T11,2026-06-14 08:34:10,급출발,35.695868,129.331378,17.7,0
E0015969,T00183,1,GLV-T11,2026-06-14 08:36:50,급가속,35.691343,129.330885,6,0
E0015970,T00183,1,GLV-T11,2026-06-14 08:41:10,급가속,35.70052,129.303147,58.3,0
E0015971,T00183,1,GLV-T11,2026-06-14 09:02:30,급감속,35.82243,129.130348,37.2,0
E0015972,T00183,1,GLV-T11,2026-06-14 09:02:30,급가속,35.822327,129.130434,34.6,0
E0015973,T00183,1,GLV-T11,2026-06-14 09:04:20,급가속,35.828421,129.120742,28.5,0
E0015974,T00183,1,GLV-T11,2026-06-14 09:15:50,급감속,35.910152,129.008537,77.2,0
E0015975,T00183,1,GLV-T11,2026-06-14 09:17:20,급출발,35.924672,128.998792,78.5,0
E0015976,T00183,1,GLV-T11,2026-06-14 09:26:40,급가속,35.89373,128.886678,85,0
E0015977,T00183,1,GLV-T11,2026-06-14 09:30:30,급감속,35.878943,128.834811,72.7,0
E0015978,T00183,1,GLV-T11,2026-06-14 09:37:40,급감속,35.874887,128.816875,28.7,0
E0015979,T00183,1,GLV-T11,2026-06-14 09:37:40,급정지,35.874927,128.816855,23,0
E0015980,T00183,1,GLV-T11,2026-06-14 09:37:50,급가속,35.874932,128.817627,21.3,0
E0015981,T00183,1,GLV-T11,2026-06-14 09:38:40,급감속,35.875942,128.821214,29.6,0
E0015982,T00183,1,GLV-T11,2026-06-14 09:40:40,급감속,35.875069,128.824961,14.9,0
E0015983,T00183,1,GLV-T11,2026-06-14 09:41:10,급감속,35.873878,128.824997,12.7,0
E0015984,T00183,2,GLV-T11,2026-06-14 10:48:30,급출발,35.876393,128.823569,18.6,1
E0015985,T00183,2,GLV-T11,2026-06-14 10:50:30,급감속,35.875137,128.818717,20.7,1
E0015986,T00183,2,GLV-T11,2026-06-14 10:50:50,급출발,35.87478,128.817138,27.1,1
E0015987,T00183,2,GLV-T11,2026-06-14 10:51:00,급가속,35.874812,128.816334,21.6,1
E0015988,T00183,2,GLV-T11,2026-06-14 10:55:10,급감속,35.878955,128.778529,69.5,1
E0015989,T00183,2,GLV-T11,2026-06-14 11:02:40,급가속,35.877347,128.685584,74.6,1
E0015990,T00183,2,GLV-T11,2026-06-14 11:06:00,급가속,35.84021,128.689769,33.8,1
E0015991,T00183,2,GLV-T11,2026-06-14 11:07:10,급가속,35.834843,128.693473,6,1
E0015992,T00183,2,GLV-T11,2026-06-14 11:07:10,급가속,35.834912,128.693472,6,1
E0015993,T00183,2,GLV-T11,2026-06-14 11:11:50,급가속,35.802439,128.731605,76.6,1
E0015994,T00183,2,GLV-T11,2026-06-14 11:22:30,급가속,35.681808,128.743929,76.6,1
E0015995,T00183,2,GLV-T11,2026-06-14 11:24:00,급감속,35.663953,128.745606,72.1,1
E0015996,T00183,2,GLV-T11,2026-06-14 11:27:00,급가속,35.632182,128.758431,68.4,1
E0015997,T00183,2,GLV-T11,2026-06-14 11:35:20,급가속,35.541978,128.792265,79.2,1
E0015998,T00183,2,GLV-T11,2026-06-14 11:37:20,급감속,35.51857,128.795851,72.4,1
E0015999,T00183,2,GLV-T11,2026-06-14 11:46:10,급가속,35.423948,128.786291,80.2,1
E0016000,T00183,2,GLV-T11,2026-06-14 11:58:40,급가속,35.347856,128.924608,80.5,1
E0016001,T00183,2,GLV-T11,2026-06-14 11:59:50,급가속,35.337098,128.935038,73.7,1
E0016002,T00183,2,GLV-T11,2026-06-14 12:13:30,급가속,35.228292,128.93857,41.3,1
E0016003,T00183,2,GLV-T11,2026-06-14 12:13:40,급감속,35.227724,128.937534,40.2,1
E0016004,T00183,2,GLV-T11,2026-06-14 12:13:40,급가속,35.22782,128.937521,39.8,1
E0016005,T00183,2,GLV-T11,2026-06-14 12:14:10,급정지,35.225708,128.934953,45.9,1
E0016006,T00183,2,GLV-T11,2026-06-14 12:20:10,급정지,35.180775,128.901159,73.6,1
E0016007,T00183,2,GLV-T11,2026-06-14 12:20:30,급가속,35.176932,128.901058,73.2,1
E0016008,T00183,2,GLV-T11,2026-06-14 12:29:40,급가속,35.100571,128.834723,50.5,1
E0016009,T00183,2,GLV-T11,2026-06-14 12:30:20,급감속,35.097341,128.834511,29.7,1
E0016010,T00183,2,GLV-T11,2026-06-14 12:31:10,급감속,35.094172,128.834508,23.5,1
E0016011,T00183,2,GLV-T11,2026-06-14 12:32:10,급가속,35.091547,128.834524,14.8,1
E0016012,T00183,2,GLV-T11,2026-06-14 12:33:10,급정지,35.08951,128.834544,11.1,1
E0016013,T00183,2,GLV-T11,2026-06-14 12:33:40,급감속,35.088332,128.834578,6,1
E0016014,T00184,1,GLV-T11,2026-06-18 06:54:40,급감속,35.69454,129.331858,20.3,0
E0016015,T00184,1,GLV-T11,2026-06-18 06:54:50,급출발,35.694191,129.332004,14,0
E0016016,T00184,1,GLV-T11,2026-06-18 06:55:40,급감속,35.692631,129.332049,6,0
E0016017,T00184,1,GLV-T11,2026-06-18 06:58:00,급출발,35.692377,129.32788,29,0
E0016018,T00184,1,GLV-T11,2026-06-18 07:01:40,급가속,35.706045,129.300728,62.9,0
E0016019,T00184,1,GLV-T11,2026-06-18 07:13:00,급가속,35.770206,129.201609,69.5,0
E0016020,T00184,1,GLV-T11,2026-06-18 07:18:00,급가속,35.809302,129.188927,85.3,0
E0016021,T00184,1,GLV-T11,2026-06-18 07:23:20,급감속,35.825474,129.125455,41.9,0
E0016022,T00184,1,GLV-T11,2026-06-18 07:23:30,급감속,35.826091,129.124359,6,0
E0016023,T00184,1,GLV-T11,2026-06-18 07:24:50,급감속,35.829548,129.118054,31.4,0
E0016024,T00184,1,GLV-T11,2026-06-18 07:32:20,급감속,35.887613,129.047948,77,0
E0016025,T00184,1,GLV-T11,2026-06-18 07:33:50,급가속,35.89195,129.027801,72.9,0
E0016026,T00184,1,GLV-T11,2026-06-18 07:40:20,급감속,35.92615,128.964213,81.3,0
E0016027,T00184,1,GLV-T11,2026-06-18 07:41:40,급감속,35.922187,128.94593,73.7,0
E0016028,T00184,1,GLV-T11,2026-06-18 07:57:40,급정지,35.874755,128.816703,28,0
E0016029,T00184,1,GLV-T11,2026-06-18 07:58:00,급가속,35.875077,128.818401,32.1,0
E0016030,T00184,1,GLV-T11,2026-06-18 07:58:00,급정지,35.874958,128.81835,29.8,0
E0016031,T00184,1,GLV-T11,2026-06-18 07:58:40,급가속,35.875969,128.821186,26.6,0
E0016032,T00184,1,GLV-T11,2026-06-18 08:02:50,급정지,35.87171,128.824978,16,0
E0016033,T00184,1,GLV-T11,2026-06-18 08:03:40,급가속,35.870228,128.824851,6,0
E0016034,T00184,2,GLV-T11,2026-06-18 09:01:00,급출발,35.876427,128.823806,18.3,1
E0016035,T00184,2,GLV-T11,2026-06-18 09:01:50,급감속,35.87578,128.820572,24.1,1
E0016036,T00184,2,GLV-T11,2026-06-18 09:02:10,급감속,35.87536,128.819442,6,1
E0016037,T00184,2,GLV-T11,2026-06-18 09:03:00,급감속,35.874805,128.816743,17,1
E0016038,T00184,2,GLV-T11,2026-06-18 09:14:30,급가속,35.87988,128.686859,79.1,1
E0016039,T00184,2,GLV-T11,2026-06-18 09:15:50,급가속,35.86427,128.686316,71.6,1
E0016040,T00184,2,GLV-T11,2026-06-18 09:16:10,급감속,35.860529,128.686752,84.3,1
E0016041,T00184,2,GLV-T11,2026-06-18 09:17:50,급감속,35.840615,128.689542,34.9,1
E0016042,T00184,2,GLV-T11,2026-06-18 09:18:00,급가속,35.839786,128.689904,36.1,1
E0016043,T00184,2,GLV-T11,2026-06-18 09:18:10,급가속,35.83892,128.690187,43.1,1
E0016044,T00184,2,GLV-T11,2026-06-18 09:18:50,급가속,35.835408,128.692794,36.8,1
E0016045,T00184,2,GLV-T11,2026-06-18 09:31:20,급가속,35.71703,128.742244,79.2,1
E0016046,T00184,2,GLV-T11,2026-06-18 09:31:30,급가속,35.715279,128.742992,90.2,1
E0016047,T00184,2,GLV-T11,2026-06-18 09:32:30,급감속,35.703235,128.740942,76.3,1
E0016048,T00184,2,GLV-T11,2026-06-18 09:36:30,급감속,35.65758,128.745648,73.5,1
E0016049,T00184,2,GLV-T11,2026-06-18 09:52:40,급정지,35.483087,128.776302,83,1
E0016050,T00184,2,GLV-T11,2026-06-18 09:57:50,급출발,35.424418,128.785869,77.1,1
E0016051,T00184,2,GLV-T11,2026-06-18 10:04:40,급가속,35.36947,128.852465,81.3,1
E0016052,T00184,2,GLV-T11,2026-06-18 10:09:50,급출발,35.353612,128.917778,76.4,1
E0016053,T00184,2,GLV-T11,2026-06-18 10:25:20,급감속,35.228272,128.938419,44.8,1
E0016054,T00184,2,GLV-T11,2026-06-18 10:25:20,급감속,35.228246,128.93856,43.1,1
E0016055,T00184,2,GLV-T11,2026-06-18 10:27:00,급정지,35.222057,128.930346,51.1,1
E0016056,T00184,2,GLV-T11,2026-06-18 10:27:00,급정지,35.222037,128.930243,48.3,1
E0016057,T00184,2,GLV-T11,2026-06-18 10:27:10,급정지,35.221375,128.929155,45.9,1
E0016058,T00184,2,GLV-T11,2026-06-18 10:30:10,급감속,35.200953,128.898126,80,1
E0016059,T00184,2,GLV-T11,2026-06-18 10:41:00,급감속,35.104729,128.835921,51.9,1
E0016060,T00184,2,GLV-T11,2026-06-18 10:42:00,급감속,35.097695,128.834504,16.8,1
E0016061,T00184,2,GLV-T11,2026-06-18 10:42:30,급감속,35.096019,128.834516,26.6,1
E0016062,T00184,2,GLV-T11,2026-06-18 10:42:30,급출발,35.096029,128.83459,26.1,1
E0016063,T00184,2,GLV-T11,2026-06-18 10:43:40,급가속,35.092462,128.834458,15.7,1
E0016064,T00184,2,GLV-T11,2026-06-18 10:43:50,급정지,35.092009,128.834527,6,1
E0016065,T00184,2,GLV-T11,2026-06-18 10:46:00,급정지,35.089153,128.834503,15.3,1
E0016066,T00184,2,GLV-T11,2026-06-18 10:46:50,급출발,35.087135,128.834572,15.9,1
E0016067,T00185,1,GLV-T11,2026-06-22 06:43:40,급가속,35.69589,129.331538,10.9,0
E0016068,T00185,1,GLV-T11,2026-06-22 06:44:20,급출발,35.694821,129.331653,14.4,0
E0016069,T00185,1,GLV-T11,2026-06-22 06:45:40,급가속,35.6917,129.331821,19.9,0
E0016070,T00185,1,GLV-T11,2026-06-22 06:47:20,급가속,35.692752,129.326423,45.9,0
E0016071,T00185,1,GLV-T11,2026-06-22 06:57:30,급감속,35.738363,129.229959,80.2,0
E0016072,T00185,1,GLV-T11,2026-06-22 07:11:40,급감속,35.823168,129.129207,38.6,0
E0016073,T00185,1,GLV-T11,2026-06-22 07:12:30,급감속,35.826094,129.124594,6,0
E0016074,T00185,1,GLV-T11,2026-06-22 07:13:50,급가속,35.828298,129.12091,36.3,0
E0016075,T00185,1,GLV-T11,2026-06-22 07:14:10,급가속,35.829246,129.118829,32.6,0
E0016076,T00185,1,GLV-T11,2026-06-22 07:28:50,급출발,35.930828,128.973584,74.7,0
E0016077,T00185,1,GLV-T11,2026-06-22 07:30:40,급출발,35.922471,128.950216,74.1,0
E0016078,T00185,1,GLV-T11,2026-06-22 07:33:40,급감속,35.902281,128.918554,83.5,0
E0016079,T00185,1,GLV-T11,2026-06-22 07:39:30,급출발,35.880242,128.840194,77.7,0
E0016080,T00185,1,GLV-T11,2026-06-22 07:47:10,급감속,35.874791,128.817068,31.1,0
E0016081,T00185,1,GLV-T11,2026-06-22 07:47:10,급정지,35.874809,128.817113,30.3,0
E0016082,T00185,1,GLV-T11,2026-06-22 07:47:20,급감속,35.875012,128.817957,29.3,0
E0016083,T00185,1,GLV-T11,2026-06-22 07:49:10,급정지,35.876529,128.824634,24.1,0
E0016084,T00185,1,GLV-T11,2026-06-22 07:50:50,급감속,35.872866,128.82489,6,0
E0016085,T00185,2,GLV-T11,2026-06-22 08:29:50,급출발,35.875479,128.824945,15.5,1
E0016086,T00185,2,GLV-T11,2026-06-22 08:33:00,급가속,35.874597,128.815109,26.5,1
E0016087,T00185,2,GLV-T11,2026-06-22 08:35:10,급감속,35.875519,128.796597,59.8,1
E0016088,T00185,2,GLV-T11,2026-06-22 08:40:10,급감속,35.874687,128.736143,78,1
E0016089,T00185,2,GLV-T11,2026-06-22 08:46:10,급감속,35.856318,128.687408,77.5,1
E0016090,T00185,2,GLV-T11,2026-06-22 08:47:40,급감속,35.839758,128.689854,38.5,1
E0016091,T00185,2,GLV-T11,2026-06-22 08:47:50,급가속,35.83895,128.690151,38,1
E0016092,T00185,2,GLV-T11,2026-06-22 09:09:20,급가속,35.623544,128.763196,83.5,1
E0016093,T00185,2,GLV-T11,2026-06-22 09:10:10,급감속,35.614493,128.766915,81.8,1
