event_id,vehicle_id,trip_id,leg_id,ts,lat,lon,event_type
TRIP-GLV-T01-01-L1-E16,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:12:22.805Z,35.14166,128.82345,accel
TRIP-GLV-T01-01-L1-E17,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:13:09.230Z,35.14502,128.82531,accel
TRIP-GLV-T01-01-L1-E18,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:13:55.656Z,35.14838,128.82717,accel
TRIP-GLV-T01-01-L1-E19,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:14:42.081Z,35.15174,128.82903,accel
TRIP-GLV-T01-01-L1-E20,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:15:28.506Z,35.15510,128.83089,accel
TRIP-GLV-T01-01-L1-E21,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:16:14.932Z,35.15846,128.83274,accel
TRIP-GLV-T01-01-L1-E22,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:17:01.357Z,35.16182,128.83460,accel
TRIP-GLV-T01-01-L1-E23,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:17:47.782Z,35.16518,128.83646,accel
TRIP-GLV-T01-01-L1-E24,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:18:34.208Z,35.16854,128.83832,accel
TRIP-GLV-T01-01-L1-E25,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:19:20.633Z,35.17190,128.84018,accel
TRIP-GLV-T01-01-L1-E26,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:20:07.058Z,35.17526,128.84204,accel
TRIP-GLV-T01-01-L1-E27,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:20:53.484Z,35.17862,128.84390,accel
TRIP-GLV-T01-01-L1-E28,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:21:39.909Z,35.18199,128.84576,accel
TRIP-GLV-T01-01-L1-E29,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:22:26.334Z,35.18535,128.84762,accel
TRIP-GLV-T01-01-L1-E30,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:23:12.760Z,35.18871,128.84948,accel
TRIP-GLV-T01-01-L1-E31,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:23:59.185Z,35.19207,128.85134,accel
TRIP-GLV-T01-01-L1-E32,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:24:45.610Z,35.19543,128.85320,accel
TRIP-GLV-T01-01-L1-E33,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:25:32.036Z,35.19879,128.85506,accel
TRIP-GLV-T01-01-L1-E34,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:26:18.461Z,35.20215,128.85692,accel
TRIP-GLV-T01-01-L1-E35,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:27:04.886Z,35.20551,128.85877,accel
TRIP-GLV-T01-01-L1-E36,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:27:51.312Z,35.20887,128.86063,accel
TRIP-GLV-T01-01-L1-E37,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:28:37.737Z,35.21223,128.86249,accel
TRIP-GLV-T01-01-L1-E38,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:29:24.162Z,35.21559,128.86435,accel
TRIP-GLV-T01-01-L1-E39,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:30:10.588Z,35.21895,128.86621,accel
TRIP-GLV-T01-01-L1-E40,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:30:57.013Z,35.22231,128.86807,accel
TRIP-GLV-T01-01-L1-E41,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:31:43.438Z,35.22567,128.86993,accel
TRIP-GLV-T01-01-L1-E42,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:32:29.864Z,35.22903,128.87179,accel
TRIP-GLV-T01-01-L1-E43,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:33:16.289Z,35.23239,128.87365,accel
TRIP-GLV-T01-01-L1-E44,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:34:02.714Z,35.23575,128.87551,accel
TRIP-GLV-T01-01-L1-E45,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:34:49.140Z,35.23911,128.87737,accel
TRIP-GLV-T01-01-L1-E46,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:35:35.565Z,35.24247,128.87923,accel
TRIP-GLV-T01-01-L1-E47,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:36:21.990Z,35.24583,128.88109,accel
TRIP-GLV-T01-01-L1-E48,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:37:08.416Z,35.24919,128.88295,accel
TRIP-GLV-T01-01-L1-E49,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:37:54.841Z,35.25255,128.88480,accel
TRIP-GLV-T01-01-L1-E50,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:38:41.266Z,35.25591,128.88666,accel
TRIP-GLV-T01-01-L1-E51,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:39:27.692Z,35.25927,128.88852,accel
TRIP-GLV-T01-01-L1-E52,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:40:14.117Z,35.26263,128.89038,accel
TRIP-GLV-T01-01-L1-E53,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:41:00.542Z,35.26599,128.89224,accel
TRIP-GLV-T01-01-L1-E54,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:41:46.968Z,35.26935,128.89410,accel
TRIP-GLV-T01-01-L1-E55,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:42:33.393Z,35.27271,128.89596,accel
TRIP-GLV-T01-01-L1-E56,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:43:19.819Z,35.27607,128.89782,accel
TRIP-GLV-T01-01-L1-E57,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:44:06.244Z,35.27943,128.89968,accel
TRIP-GLV-T01-01-L1-E58,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:44:52.669Z,35.28279,128.90154,accel
TRIP-GLV-T01-01-L1-E59,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:45:39.095Z,35.28615,128.90340,accel
TRIP-GLV-T01-01-L1-E60,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:46:25.520Z,35.28951,128.90526,accel
TRIP-GLV-T01-01-L1-E61,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:47:11.945Z,35.29287,128.90712,accel
TRIP-GLV-T01-01-L1-E62,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:47:58.371Z,35.29623,128.90898,accel
TRIP-GLV-T01-01-L1-E63,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:48:44.796Z,35.29959,128.91083,accel
TRIP-GLV-T01-01-L1-E64,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:49:31.221Z,35.30295,128.91269,accel
TRIP-GLV-T01-01-L1-E65,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:50:17.647Z,35.30631,128.91455,accel
TRIP-GLV-T01-01-L1-E66,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:51:04.072Z,35.30967,128.91641,start
TRIP-GLV-T01-01-L1-E67,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:51:50.497Z,35.31303,128.91827,start
TRIP-GLV-T01-01-L1-E68,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:52:36.923Z,35.31639,128.92013,start
TRIP-GLV-T01-01-L1-E69,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:53:23.348Z,35.31975,128.92199,start
TRIP-GLV-T01-01-L1-E70,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:54:09.773Z,35.32311,128.92385,start
TRIP-GLV-T01-01-L1-E71,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:54:56.199Z,35.32647,128.92571,start
TRIP-GLV-T01-01-L1-E72,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:55:42.624Z,35.32983,128.92757,start
TRIP-GLV-T01-01-L1-E73,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:56:29.049Z,35.33319,128.92943,start
TRIP-GLV-T01-01-L1-E74,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:57:15.475Z,35.33655,128.93129,start
TRIP-GLV-T01-01-L1-E75,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:58:01.900Z,35.33991,128.93315,start
TRIP-GLV-T01-01-L1-E76,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:58:48.325Z,35.34327,128.93500,start
TRIP-GLV-T01-01-L1-E77,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:59:34.751Z,35.34663,128.93686,start
TRIP-GLV-T01-01-L1-E78,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:00:21.176Z,35.34999,128.93872,start
TRIP-GLV-T01-01-L1-E79,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:01:07.601Z,35.35335,128.94058,start
TRIP-GLV-T01-01-L1-E80,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:01:54.027Z,35.35671,128.94244,start
TRIP-GLV-T01-01-L1-E81,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:02:40.452Z,35.36007,128.94430,start
TRIP-GLV-T01-01-L1-E82,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:03:26.877Z,35.36343,128.94616,start
TRIP-GLV-T01-01-L1-E83,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:04:13.303Z,35.36680,128.94802,start
TRIP-GLV-T01-01-L1-E84,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:04:59.728Z,35.37016,128.94988,start
TRIP-GLV-T01-01-L1-E85,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:05:46.153Z,35.37352,128.95174,start
TRIP-GLV-T01-01-L1-E86,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:06:32.579Z,35.37688,128.95360,start
TRIP-GLV-T01-01-L1-E87,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:07:19.004Z,35.38024,128.95546,start
TRIP-GLV-T01-01-L1-E88,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:08:05.429Z,35.38360,128.95732,start
TRIP-GLV-T01-01-L1-E89,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:08:51.855Z,35.38696,128.95918,start
TRIP-GLV-T01-01-L1-E90,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:09:38.280Z,35.39032,128.96103,start
TRIP-GLV-T01-01-L1-E91,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:10:24.705Z,35.39368,128.96289,start
TRIP-GLV-T01-01-L1-E92,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:11:11.131Z,35.39704,128.96475,start
TRIP-GLV-T01-01-L1-E93,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:11:57.556Z,35.40040,128.96661,start
TRIP-GLV-T01-01-L1-E94,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:12:43.981Z,35.40376,128.96847,start
TRIP-GLV-T01-01-L1-E95,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:13:30.407Z,35.40712,128.97033,start
TRIP-GLV-T01-01-L1-E96,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:14:16.832Z,35.41048,128.97219,start
TRIP-GLV-T01-01-L1-E97,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:15:03.257Z,35.41384,128.97405,start
TRIP-GLV-T01-01-L1-E98,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:15:49.683Z,35.41720,128.97591,start
TRIP-GLV-T01-01-L1-E99,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:16:36.108Z,35.42056,128.97777,start
TRIP-GLV-T01-01-L1-E100,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:17:22.533Z,35.42392,128.97963,start
TRIP-GLV-T01-01-L1-E101,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:18:08.959Z,35.42728,128.98149,start
TRIP-GLV-T01-01-L1-E102,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:18:55.384Z,35.43064,128.98335,start
TRIP-GLV-T01-01-L1-E103,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:19:41.809Z,35.43400,128.98521,start
TRIP-GLV-T01-01-L1-E104,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:20:28.235Z,35.43736,128.98706,start
TRIP-GLV-T01-01-L1-E105,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:21:14.660Z,35.44072,128.98892,start
TRIP-GLV-T01-01-L1-E106,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:22:01.085Z,35.44408,128.99078,start
TRIP-GLV-T01-01-L1-E107,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:22:47.511Z,35.44744,128.99264,start
TRIP-GLV-T01-01-L1-E108,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:23:33.936Z,35.45080,128.99450,start
TRIP-GLV-T01-01-L1-E109,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:24:20.361Z,35.45416,128.99636,start
TRIP-GLV-T01-01-L1-E110,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:25:06.787Z,35.45752,128.99822,start
TRIP-GLV-T01-01-L1-E111,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:25:53.212Z,35.46088,129.00008,start
TRIP-GLV-T01-01-L1-E112,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:26:39.638Z,35.46424,129.00194,start
TRIP-GLV-T01-01-L1-E113,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:27:26.063Z,35.46760,129.00380,start
TRIP-GLV-T01-01-L1-E114,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:28:12.488Z,35.47096,129.00566,start
TRIP-GLV-T01-01-L1-E115,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:28:58.914Z,35.47432,129.00752,start
TRIP-GLV-T01-01-L1-E116,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:29:45.339Z,35.47768,129.00938,start
TRIP-GLV-T01-01-L1-E117,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:30:31.764Z,35.48104,129.01124,start
TRIP-GLV-T01-01-L1-E118,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:31:18.190Z,35.48440,129.01309,start
TRIP-GLV-T01-01-L1-E119,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:32:04.615Z,35.48776,129.01495,start
TRIP-GLV-T01-01-L1-E120,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:32:51.040Z,35.49112,129.01681,start
TRIP-GLV-T01-01-L1-E121,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:33:37.466Z,35.49448,129.01867,decel
TRIP-GLV-T01-01-L1-E122,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:34:23.891Z,35.49784,129.02053,decel
TRIP-GLV-T01-01-L1-E123,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:35:10.316Z,35.50120,129.02239,decel
TRIP-GLV-T01-01-L1-E124,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:35:56.742Z,35.50456,129.02425,decel
TRIP-GLV-T01-01-L1-E125,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:36:43.167Z,35.50792,129.02611,decel
TRIP-GLV-T01-01-L1-E126,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:37:29.592Z,35.51128,129.02797,decel
TRIP-GLV-T01-01-L1-E127,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:38:16.018Z,35.51464,129.02983,decel
TRIP-GLV-T01-01-L1-E128,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:39:02.443Z,35.51800,129.03169,decel
TRIP-GLV-T01-01-L1-E129,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:39:48.868Z,35.52136,129.03355,decel
TRIP-GLV-T01-01-L1-E130,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:40:35.294Z,35.52472,129.03541,decel
TRIP-GLV-T01-01-L1-E131,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:41:21.719Z,35.52808,129.03727,decel
TRIP-GLV-T01-01-L1-E132,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:42:08.144Z,35.53144,129.03912,decel
TRIP-GLV-T01-01-L1-E133,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:42:54.570Z,35.53480,129.04098,decel
TRIP-GLV-T01-01-L1-E134,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:43:40.995Z,35.53816,129.04284,decel
TRIP-GLV-T01-01-L1-E135,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:44:27.420Z,35.54152,129.04470,decel
TRIP-GLV-T01-01-L1-E136,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:45:13.846Z,35.54488,129.04656,decel
TRIP-GLV-T01-01-L1-E137,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:46:00.271Z,35.54824,129.04842,decel
TRIP-GLV-T01-01-L1-E138,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:46:46.696Z,35.55160,129.05028,decel
TRIP-GLV-T01-01-L1-E139,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:47:33.122Z,35.55497,129.05214,decel
TRIP-GLV-T01-01-L1-E140,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:48:19.547Z,35.55833,129.05400,decel
TRIP-GLV-T01-01-L1-E141,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:49:05.972Z,35.56169,129.05586,decel
TRIP-GLV-T01-01-L1-E142,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:49:52.398Z,35.56505,129.05772,decel
TRIP-GLV-T01-01-L1-E143,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:50:38.823Z,35.56841,129.05958,decel
TRIP-GLV-T01-01-L1-E144,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:51:25.248Z,35.57177,129.06144,decel
TRIP-GLV-T01-01-L1-E145,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:52:11.674Z,35.57513,129.06330,decel
TRIP-GLV-T01-01-L1-E146,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:52:58.099Z,35.57849,129.06515,decel
TRIP-GLV-T01-01-L1-E147,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:53:44.524Z,35.58185,129.06701,decel
TRIP-GLV-T01-01-L1-E148,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:54:30.950Z,35.58521,129.06887,decel
TRIP-GLV-T01-01-L1-E149,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:55:17.375Z,35.58857,129.07073,decel
TRIP-GLV-T01-01-L1-E150,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:56:03.800Z,35.59193,129.07259,decel
TRIP-GLV-T01-01-L1-E151,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:56:50.226Z,35.59529,129.07445,decel
TRIP-GLV-T01-01-L1-E152,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:57:36.651Z,35.59865,129.07631,decel
TRIP-GLV-T01-01-L1-E153,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:58:23.076Z,35.60201,129.07817,decel
TRIP-GLV-T01-01-L1-E154,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:59:09.502Z,35.60537,129.08003,decel
TRIP-GLV-T01-01-L1-E155,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T22:59:55.927Z,35.60873,129.08189,decel
TRIP-GLV-T01-01-L1-E156,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T23:00:42.352Z,35.61209,129.08375,decel
TRIP-GLV-T01-01-L1-E157,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T23:01:28.778Z,35.61545,129.08561,decel
TRIP-GLV-T01-01-L1-E158,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T23:02:15.203Z,35.61881,129.08747,decel
