vehicle_id,trip_id,ts,lat,lon,speed_kmh,rpm,odo_km,laden,gps_status
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:32:00.000Z,35.22687,128.87059,68,1500,37.43,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:34:00.000Z,35.23555,128.87540,66,1500,39.77,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:36:00.000Z,35.24424,128.88021,64,1500,42.11,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:38:00.000Z,35.25292,128.88501,63,1500,44.44,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:40:00.000Z,35.26161,128.88982,62,1500,46.78,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:42:00.000Z,35.27029,128.89462,61,1500,49.12,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:44:00.000Z,35.27898,128.89943,60,1500,51.46,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:46:00.000Z,35.28766,128.90423,60,1500,53.80,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:48:00.000Z,35.29635,128.90904,60,1500,56.14,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:50:00.000Z,35.30503,128.91385,60,1500,58.48,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:52:00.000Z,35.31372,128.91865,61,1500,60.82,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:54:00.000Z,35.32241,128.92346,62,1500,63.16,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:56:00.000Z,35.33109,128.92826,63,1500,65.50,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:58:00.000Z,35.33978,128.93307,64,1500,67.84,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:00:00.000Z,35.34846,128.93788,66,1500,70.18,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:02:00.000Z,35.35715,128.94268,67,1500,72.51,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:04:00.000Z,35.36583,128.94749,69,1500,74.85,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:06:00.000Z,35.37452,128.95229,70,1500,77.19,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:08:00.000Z,35.38320,128.95710,72,1500,79.53,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:10:00.000Z,35.39189,128.96190,73,1500,81.87,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:12:00.000Z,35.40057,128.96671,74,1500,84.21,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:14:00.000Z,35.40926,128.97152,75,1500,86.55,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:16:00.000Z,35.41794,128.97632,76,1500,88.89,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:18:00.000Z,35.42663,128.98113,76,1500,91.23,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:20:00.000Z,35.43532,128.98593,76,1500,93.57,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:22:00.000Z,35.44400,128.99074,76,1500,95.91,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:24:00.000Z,35.45269,128.99555,75,1500,98.25,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:26:00.000Z,35.46137,129.00035,74,1500,100.58,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:28:00.000Z,35.47006,129.00516,73,1500,102.92,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:30:00.000Z,35.47874,129.00996,71,1500,105.26,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:32:00.000Z,35.48743,129.01477,70,1500,107.60,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:34:00.000Z,35.49611,129.01957,68,1500,109.94,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:36:00.000Z,35.50480,129.02438,67,1500,112.28,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:38:00.000Z,35.51348,129.02919,65,1500,114.62,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:40:00.000Z,35.52217,129.03399,64,1500,116.96,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:42:00.000Z,35.53085,129.03880,62,1500,119.30,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:44:00.000Z,35.53954,129.04360,61,1500,121.64,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:46:00.000Z,35.54823,129.04841,61,1500,123.98,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:48:00.000Z,35.55691,129.05322,60,1500,126.32,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:50:00.000Z,35.56560,129.05802,60,1500,128.65,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:52:00.000Z,35.57428,129.06283,60,1500,130.99,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:54:00.000Z,35.58297,129.06763,61,1500,133.33,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:56:00.000Z,35.59165,129.07244,61,1500,135.67,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T22:58:00.000Z,35.60034,129.07725,62,1500,138.01,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:00:00.000Z,35.60902,129.08205,64,1500,140.35,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:02:00.000Z,35.61771,129.08686,65,1500,142.69,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:04:00.000Z,35.62639,129.09166,67,1500,145.03,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:06:00.000Z,35.63508,129.09647,68,1500,147.37,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:08:00.000Z,35.64376,129.10127,70,1500,149.71,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:10:00.000Z,35.65245,129.10608,71,1500,152.05,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:12:00.000Z,35.66114,129.11089,73,1500,154.39,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:14:00.000Z,35.66982,129.11569,74,1500,156.73,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:16:00.000Z,35.67851,129.12050,75,1500,159.06,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:18:00.000Z,35.68719,129.12530,76,1500,161.40,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:20:00.000Z,35.69588,129.13011,76,1500,163.74,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:22:00.000Z,35.70456,129.13492,76,1500,166.08,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:24:00.000Z,35.71325,129.13972,76,1500,168.42,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:26:00.000Z,35.72193,129.14453,75,1500,170.76,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:28:00.000Z,35.73062,129.14933,74,1500,173.10,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:30:00.000Z,35.73930,129.15414,73,1500,175.44,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:32:00.000Z,35.74799,129.15894,72,1500,177.78,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:34:00.000Z,35.75667,129.16375,70,1500,180.12,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:36:00.000Z,35.76536,129.16856,69,1500,182.46,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:38:00.000Z,35.77405,129.17336,67,1500,184.80,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:40:00.000Z,35.78273,129.17817,66,1500,187.13,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:42:00.000Z,35.79142,129.18297,64,1500,189.47,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:44:00.000Z,35.80010,129.18778,63,1500,191.81,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:46:00.000Z,35.80879,129.19259,62,1500,194.15,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:48:00.000Z,35.81747,129.19739,61,1500,196.49,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T23:50:00.000Z,35.82616,129.20220,60,1500,198.83,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:00:00.000Z,35.83050,129.20460,68,1500,200.00,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:02:00.000Z,35.82472,129.20140,70,1500,202.33,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:04:00.000Z,35.81894,129.19820,71,1500,204.67,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:06:00.000Z,35.81316,129.19501,73,1500,207.00,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:08:00.000Z,35.80738,129.19181,74,1500,209.34,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:10:00.000Z,35.80161,129.18861,75,1500,211.67,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:12:00.000Z,35.79583,129.18541,75,1500,214.01,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:14:00.000Z,35.79005,129.18222,76,1500,216.34,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:16:00.000Z,35.78427,129.17902,76,1500,218.68,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:18:00.000Z,35.77849,129.17582,76,1500,221.01,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:20:00.000Z,35.77271,129.17262,75,1500,223.35,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:22:00.000Z,35.76693,129.16943,74,1500,225.68,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:24:00.000Z,35.76115,129.16623,73,1500,228.02,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:26:00.000Z,35.75537,129.16303,72,1500,230.35,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:28:00.000Z,35.74959,129.15983,71,1500,232.68,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:30:00.000Z,35.74382,129.15664,69,1500,235.02,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:32:00.000Z,35.73804,129.15344,68,1500,237.35,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:34:00.000Z,35.73226,129.15024,66,1500,239.69,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:36:00.000Z,35.72648,129.14704,64,1500,242.02,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:38:00.000Z,35.72070,129.14384,63,1500,244.36,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:40:00.000Z,35.71492,129.14065,62,1500,246.69,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:42:00.000Z,35.70914,129.13745,61,1500,249.03,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:44:00.000Z,35.70336,129.13425,60,1500,251.36,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:46:00.000Z,35.69758,129.13105,60,1500,253.70,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:48:00.000Z,35.69180,129.12786,60,1500,256.03,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:50:00.000Z,35.68603,129.12466,60,1500,258.37,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:52:00.000Z,35.68025,129.12146,61,1500,260.70,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:54:00.000Z,35.67447,129.11826,62,1500,263.04,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:56:00.000Z,35.66869,129.11507,63,1500,265.37,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T01:58:00.000Z,35.66291,129.11187,64,1500,267.70,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:00:00.000Z,35.65713,129.10867,66,1500,270.04,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:02:00.000Z,35.65135,129.10547,67,1500,272.37,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:04:00.000Z,35.64557,129.10227,69,1500,274.71,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:06:00.000Z,35.63979,129.09908,70,1500,277.04,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:08:00.000Z,35.63401,129.09588,72,1500,279.38,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:10:00.000Z,35.62824,129.09268,73,1500,281.71,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:12:00.000Z,35.62246,129.08948,74,1500,284.05,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:14:00.000Z,35.61668,129.08629,75,1500,286.38,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:16:00.000Z,35.61090,129.08309,76,1500,288.72,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:18:00.000Z,35.60512,129.07989,76,1500,291.05,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:20:00.000Z,35.59934,129.07669,76,1500,293.39,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:22:00.000Z,35.59356,129.07350,76,1500,295.72,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:24:00.000Z,35.58778,129.07030,75,1500,298.05,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:26:00.000Z,35.58200,129.06710,74,1500,300.39,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:28:00.000Z,35.57622,129.06390,73,1500,302.72,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:30:00.000Z,35.57045,129.06071,71,1500,305.06,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:32:00.000Z,35.56467,129.05751,70,1500,307.39,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:34:00.000Z,35.55889,129.05431,68,1500,309.73,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:36:00.000Z,35.55311,129.05111,67,1500,312.06,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:38:00.000Z,35.54733,129.04791,65,1500,314.40,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:40:00.000Z,35.54155,129.04472,64,1500,316.73,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:42:00.000Z,35.53577,129.04152,62,1500,319.07,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:44:00.000Z,35.52999,129.03832,61,1500,321.40,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:46:00.000Z,35.52421,129.03512,61,1500,323.74,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:48:00.000Z,35.51843,129.03193,60,1500,326.07,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:50:00.000Z,35.51266,129.02873,60,1500,328.40,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:52:00.000Z,35.50688,129.02553,60,1500,330.74,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:54:00.000Z,35.50110,129.02233,61,1500,333.07,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:56:00.000Z,35.49532,129.01914,61,1500,335.41,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T02:58:00.000Z,35.48954,129.01594,62,1500,337.74,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:00:00.000Z,35.48376,129.01274,64,1500,340.08,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:02:00.000Z,35.47798,129.00954,65,1500,342.41,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:04:00.000Z,35.47220,129.00634,67,1500,344.75,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:06:00.000Z,35.46642,129.00315,68,1500,347.08,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:08:00.000Z,35.46064,128.99995,70,1500,349.42,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:10:00.000Z,35.45487,128.99675,71,1500,351.75,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:12:00.000Z,35.44909,128.99355,73,1500,354.09,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:14:00.000Z,35.44331,128.99036,74,1500,356.42,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:16:00.000Z,35.43753,128.98716,75,1500,358.75,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:18:00.000Z,35.43175,128.98396,76,1500,361.09,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:20:00.000Z,35.42597,128.98076,76,1500,363.42,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:22:00.000Z,35.42019,128.97757,76,1500,365.76,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:24:00.000Z,35.41441,128.97437,76,1500,368.09,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:26:00.000Z,35.40863,128.97117,75,1500,370.43,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:28:00.000Z,35.40285,128.96797,74,1500,372.76,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:30:00.000Z,35.39708,128.96478,73,1500,375.10,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:32:00.000Z,35.39130,128.96158,72,1500,377.43,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:34:00.000Z,35.38552,128.95838,70,1500,379.77,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:36:00.000Z,35.37974,128.95518,69,1500,382.10,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:38:00.000Z,35.37396,128.95198,67,1500,384.44,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:40:00.000Z,35.36818,128.94879,66,1500,386.77,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:42:00.000Z,35.36240,128.94559,64,1500,389.11,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:44:00.000Z,35.35662,128.94239,63,1500,391.44,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:46:00.000Z,35.35084,128.93919,62,1500,393.77,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:48:00.000Z,35.34506,128.93600,61,1500,396.11,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:50:00.000Z,35.33929,128.93280,60,1500,398.44,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:52:00.000Z,35.33351,128.92960,60,1500,400.78,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:54:00.000Z,35.32773,128.92640,60,1500,403.11,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:56:00.000Z,35.32195,128.92321,60,1500,405.45,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T03:58:00.000Z,35.31617,128.92001,61,1500,407.78,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:00:00.000Z,35.31039,128.91681,62,1500,410.12,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:02:00.000Z,35.30461,128.91361,63,1500,412.45,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:04:00.000Z,35.29883,128.91041,65,1500,414.79,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:06:00.000Z,35.29305,128.90722,66,1500,417.12,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:08:00.000Z,35.28728,128.90402,68,1500,419.46,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:10:00.000Z,35.28150,128.90082,69,1500,421.79,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:12:00.000Z,35.27572,128.89762,71,1500,424.12,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:14:00.000Z,35.26994,128.89443,72,1500,426.46,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:16:00.000Z,35.26416,128.89123,73,1500,428.79,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:18:00.000Z,35.25838,128.88803,75,1500,431.13,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:20:00.000Z,35.25260,128.88483,75,1500,433.46,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:22:00.000Z,35.24682,128.88164,76,1500,435.80,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:24:00.000Z,35.24104,128.87844,76,1500,438.13,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:26:00.000Z,35.23526,128.87524,76,1500,440.47,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:28:00.000Z,35.22949,128.87204,75,1500,442.80,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:30:00.000Z,35.22371,128.86885,75,1500,445.14,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:32:00.000Z,35.21793,128.86565,74,1500,447.47,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:34:00.000Z,35.21215,128.86245,72,1500,449.81,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:36:00.000Z,35.20637,128.85925,71,1500,452.14,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:38:00.000Z,35.20059,128.85605,70,1500,454.47,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:40:00.000Z,35.19481,128.85286,68,1500,456.81,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:42:00.000Z,35.18903,128.84966,66,1500,459.14,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:44:00.000Z,35.18325,128.84646,65,1500,461.48,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:46:00.000Z,35.17747,128.84326,63,1500,463.81,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:48:00.000Z,35.17170,128.84007,62,1500,466.15,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:50:00.000Z,35.16592,128.83687,61,1500,468.48,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:52:00.000Z,35.16014,128.83367,61,1500,470.82,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:54:00.000Z,35.15436,128.83047,60,1500,473.15,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:56:00.000Z,35.14858,128.82728,60,1500,475.49,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T04:58:00.000Z,35.14280,128.82408,60,1500,477.82,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T05:00:00.000Z,35.13702,128.82088,61,1500,480.16,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T05:02:00.000Z,35.13124,128.81768,62,1500,482.49,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T05:04:00.000Z,35.12546,128.81448,63,1500,484.82,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T05:06:00.000Z,35.11968,128.81129,64,1500,487.16,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T05:08:00.000Z,35.11391,128.80809,65,1500,489.49,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T05:10:00.000Z,35.10813,128.80489,67,1500,491.83,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T05:12:00.000Z,35.10235,128.80169,69,1500,494.16,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T05:14:00.000Z,35.09657,128.79850,70,1500,496.50,true,ok
GLV-T01,TRIP-GLV-T01-01,2026-08-01T05:16:00.000Z,35.09079,128.79530,72,1500,498.83,true,ok
GLV-T02,TRIP-GLV-T02-01,2026-07-31T21:00:00.000Z,35.08790,128.79370,68,1500,0.00,false,ok
GLV-T02,TRIP-GLV-T02-01,2026-07-31T21:02:00.000Z,35.09576,128.79805,70,1500,2.33,false,ok
GLV-T02,TRIP-GLV-T02-01,2026-07-31T21:04:00.000Z,35.10362,128.80240,71,1500,4.66,false,ok
GLV-T02,TRIP-GLV-T02-01,2026-07-31T21:06:00.000Z,35.11147,128.80674,73,1500,6.98,false,ok
GLV-T02,TRIP-GLV-T02-01,2026-07-31T21:08:00.000Z,35.11933,128.81109,74,1500,9.31,false,ok
GLV-T02,TRIP-GLV-T02-01,2026-07-31T21:10:00.000Z,35.12719,128.81544,75,1500,11.64,false,ok
GLV-T02,TRIP-GLV-T02-01,2026-07-31T21:12:00.000Z,35.13505,128.81979,75,1500,13.97,false,ok
GLV-T02,TRIP-GLV-T02-01,2026-07-31T21:14:00.000Z,35.14291,128.82414,76,1500,16.30,false,ok
GLV-T02,TRIP-GLV-T02-01,2026-07-31T21:16:00.000Z,35.15077,128.82849,76,1500,18.62,false,ok
