vehicle_id,date,seq,distance_km,duration_min,depart_time,depart_addr,arrive_time,arrive_addr
SB-000001,2026-08-12,24,2,9,16:01:09,전라남도 광양시 금호동 656(306m 범위),16:10:53,전라남도 광양시 금호동 803(99m 범위)
SB-000001,2026-08-12,25,6,15,16:11:48,전라남도 광양시 금호동 803(99m 범위),16:27:42,전라남도 광양시 태인동 1654-1(48m 범위)
SB-000001,2026-08-12,26,1,1,16:31:18,전라남도 광양시 태인동 1654-1(48m 범위),16:32:49,전라남도 광양시 태인동 1720(72m 범위)
SB-000002,2026-08-12,1,0,0,07:26:21,전라남도 광양시 태인동 1654-7(122m 범위),07:26:26,전라남도 광양시 태인동 1654-7(115m 범위)
SB-000002,2026-08-12,2,5,39,07:34:46,전라남도 광양시 태인동 1654-7(115m 범위),08:14:27,전라남도 광양시 금호동 657(56m 범위)
SB-000002,2026-08-12,3,0,3,08:17:44,전라남도 광양시 금호동 657(56m 범위),08:21:10,전라남도 광양시 금호동 657(58m 범위)
SB-000002,2026-08-12,4,1,4,08:22:18,전라남도 광양시 금호동 657(58m 범위),08:26:48,주변에 검색된 지번이 없습니다
SB-000002,2026-08-12,5,0,2,08:34:48,주변에 검색된 지번이 없습니다,08:36:48,주변에 검색된 지번이 없습니다
SB-000002,2026-08-12,6,0,5,08:45:39,주변에 검색된 지번이 없습니다,08:50:45,전라남도 광양시 금호동 636(425m 범위)
SB-000002,2026-08-12,7,3,18,08:55:27,전라남도 광양시 금호동 636(425m 범위),09:13:55,전라남도 광양시 금호동 803(86m 범위)
SB-000002,2026-08-12,8,5,15,09:14:36,전라남도 광양시 금호동 803(86m 범위),09:30:01,전라남도 광양시 태인동 309-6(27m 범위)
SB-000002,2026-08-12,9,0,0,09:35:44,전라남도 광양시 태인동 309-6(27m 범위),09:36:18,전라남도 광양시 태인동 306-20(31m 범위)
SB-000002,2026-08-12,10,3,10,09:39:07,전라남도 광양시 태인동 306-20(31m 범위),09:49:53,전라남도 광양시 금호동 658(109m 범위)
SB-000002,2026-08-12,11,0,6,09:59:26,전라남도 광양시 금호동 658(109m 범위),10:05:45,전라남도 광양시 금호동 658(101m 범위)
SB-000002,2026-08-12,12,4,22,10:07:54,전라남도 광양시 금호동 658(101m 범위),10:30:21,전라남도 광양시 금호동 803(111m 범위)
SB-000002,2026-08-12,13,7,17,10:31:04,전라남도 광양시 금호동 803(111m 범위),10:48:58,전라남도 광양시 태인동 1714(107m 범위)
SB-000002,2026-08-12,14,5,15,10:50:17,전라남도 광양시 태인동 1714(107m 범위),11:06:00,전라남도 광양시 금호동 658(123m 범위)
SB-000002,2026-08-12,15,0,2,11:08:07,전라남도 광양시 금호동 658(123m 범위),11:10:50,전라남도 광양시 금호동 658(101m 범위)
SB-000002,2026-08-12,16,4,20,11:31:47,전라남도 광양시 금호동 658(101m 범위),11:52:33,전라남도 광양시 금호동 803(99m 범위)
SB-000002,2026-08-12,17,7,14,11:53:11,전라남도 광양시 금호동 803(99m 범위),12:07:12,전라남도 광양시 태인동 1714(51m 범위)
SB-000002,2026-08-12,18,6,49,12:08:36,전라남도 광양시 태인동 1714(51m 범위),12:57:57,전라남도 광양시 금호동 636(415m 범위)
SB-000002,2026-08-12,19,3,11,13:02:02,전라남도 광양시 금호동 636(415m 범위),13:13:14,전라남도 광양시 금호동 803(90m 범위)
SB-000002,2026-08-12,20,7,18,13:14:04,전라남도 광양시 금호동 803(90m 범위),13:32:24,전라남도 광양시 태인동 1740(38m 범위)
SB-000002,2026-08-12,21,0,16,13:32:26,전라남도 광양시 태인동 1740(38m 범위),13:49:00,전라남도 광양시 태인동 28-172(53m 범위)
SB-000002,2026-08-12,22,0,0,13:52:23,전라남도 광양시 태인동 28-172(53m 범위),13:53:22,전라남도 광양시 태인동 1756(51m 범위)
SB-000002,2026-08-12,23,7,21,14:03:38,전라남도 광양시 태인동 1756(51m 범위),14:25:05,전라남도 광양시 금호동 656(217m 범위)
SB-000002,2026-08-12,24,1,5,14:35:09,전라남도 광양시 금호동 656(217m 범위),14:40:19,전라남도 광양시 금호동 656(266m 범위)
SB-000002,2026-08-12,25,1,14,14:50:14,전라남도 광양시 금호동 656(266m 범위),15:04:53,전라남도 광양시 금호동 803(130m 범위)
SB-000002,2026-08-12,26,6,17,15:05:48,전라남도 광양시 금호동 803(130m 범위),15:23:13,전라남도 광양시 태인동 1654-1(91m 범위)
SB-000002,2026-08-12,27,8,31,15:26:33,전라남도 광양시 태인동 1654-1(91m 범위),15:57:51,전라남도 광양시 금호동 803(101m 범위)
SB-000002,2026-08-12,28,6,14,15:59:16,전라남도 광양시 금호동 803(101m 범위),16:13:54,전라남도 광양시 태인동 1654-1(29m 범위)
SB-000002,2026-08-12,29,1,1,16:17:35,전라남도 광양시 태인동 1654-1(29m 범위),16:19:16,전라남도 광양시 태인동 1654-7(124m 범위)
SB-000003,2026-08-12,1,1,4,07:41:31,전라남도 광양시 태인동 1654-5(78m 범위),07:46:28,전라남도 광양시 태인동 1654-7(88m 범위)
SB-000003,2026-08-12,2,8,16,07:57:37,전라남도 광양시 태인동 1654-7(88m 범위),08:14:08,전라남도 광양시 금호동 657(458m 범위)
SB-000003,2026-08-12,3,2,11,08:15:49,전라남도 광양시 금호동 657(458m 범위),08:26:58,전라남도 광양시 금호동 656(165m 범위)
SB-000003,2026-08-12,4,2,12,08:32:07,전라남도 광양시 금호동 656(165m 범위),08:44:45,전라남도 광양시 금호동 803(195m 범위)
SB-000003,2026-08-12,5,10,17,08:45:25,전라남도 광양시 금호동 803(195m 범위),09:02:39,전라남도 광양시 태인동 1740(51m 범위)
SB-000003,2026-08-12,6,0,0,09:17:33,전라남도 광양시 태인동 1740(51m 범위),09:18:20,전라남도 광양시 태인동 1740(35m 범위)
SB-000003,2026-08-12,7,0,8,09:35:34,전라남도 광양시 태인동 1740(35m 범위),09:43:51,전라남도 광양시 태인동 1738(69m 범위)
SB-000003,2026-08-12,8,0,0,09:48:06,전라남도 광양시 태인동 1738(69m 범위),09:48:38,전라남도 광양시 태인동 1738(69m 범위)
SB-000003,2026-08-12,9,12,31,09:49:09,전라남도 광양시 태인동 1738(69m 범위),10:20:12,전라남도 광양시 금호동 803(72m 범위)
SB-000003,2026-08-12,10,20,45,10:20:40,전라남도 광양시 금호동 803(72m 범위),11:06:18,전라남도 광양시 금호동 657(390m 범위)
SB-000003,2026-08-12,11,3,7,11:13:06,전라남도 광양시 금호동 657(390m 범위),11:21:02,전라남도 광양시 금호동 803(180m 범위)
SB-000003,2026-08-12,12,7,13,11:21:57,전라남도 광양시 금호동 803(180m 범위),11:34:59,전라남도 광양시 태인동 306-20(21m 범위)
SB-000003,2026-08-12,13,0,0,11:37:36,전라남도 광양시 태인동 306-20(21m 범위),11:38:01,전라남도 광양시 태인동 306-14(17m 범위)
SB-000003,2026-08-12,14,10,62,11:39:43,전라남도 광양시 태인동 306-14(17m 범위),12:42:34,전라남도 광양시 금호동 803(109m 범위)
SB-000003,2026-08-12,15,7,29,12:43:43,전라남도 광양시 금호동 803(109m 범위),13:13:09,전라남도 광양시 태인동 309-6(61m 범위)
SB-000003,2026-08-12,16,8,16,13:29:21,전라남도 광양시 태인동 309-6(61m 범위),13:45:56,전라남도 광양시 금호동 656(184m 범위)
SB-000003,2026-08-12,17,0,2,13:52:04,전라남도 광양시 금호동 656(184m 범위),13:54:06,전라남도 광양시 금호동 656(148m 범위)
SB-000003,2026-08-12,18,2,3,14:05:15,전라남도 광양시 금호동 656(148m 범위),14:08:24,전라남도 광양시 금호동 803(83m 범위)
SB-000003,2026-08-12,19,8,16,14:08:58,전라남도 광양시 금호동 803(83m 범위),14:25:24,전라남도 광양시 태인동 1654-7(70m 범위)
SB-000003,2026-08-12,20,7,13,14:28:07,전라남도 광양시 태인동 1654-7(70m 범위),14:41:23,전라남도 광양시 금호동 636(446m 범위)
SB-000003,2026-08-12,21,0,2,14:58:09,전라남도 광양시 금호동 636(446m 범위),15:00:38,전라남도 광양시 금호동 631(485m 범위)
SB-000003,2026-08-12,22,5,24,15:05:46,전라남도 광양시 금호동 631(485m 범위),15:29:51,전라남도 광양시 금호동 803(75m 범위)
SB-000003,2026-08-12,23,9,19,15:30:42,전라남도 광양시 금호동 803(75m 범위),15:50:06,전라남도 광양시 태인동 1740(83m 범위)
SB-000003,2026-08-12,24,0,0,15:52:32,전라남도 광양시 태인동 1740(83m 범위),15:53:15,전라남도 광양시 태인동 1740(83m 범위)
SB-000003,2026-08-12,25,3,5,15:56:34,전라남도 광양시 태인동 1740(83m 범위),16:01:56,전라남도 광양시 태인동 1720(75m 범위)
SB-000004,2026-08-12,1,0,0,07:02:33,전라남도 광양시 태인동 1654-7(132m 범위),07:02:47,전라남도 광양시 태인동 1654-7(132m 범위)
SB-000004,2026-08-12,2,0,0,07:06:13,전라남도 광양시 태인동 1654-7(132m 범위),07:06:23,전라남도 광양시 태인동 1654-7(133m 범위)
SB-000004,2026-08-12,3,0,25,07:20:20,전라남도 광양시 태인동 1654-7(133m 범위),07:45:20,전라남도 광양시 태인동 1655(131m 범위)
SB-000004,2026-08-12,4,6,44,07:56:47,전라남도 광양시 태인동 1655(131m 범위),08:41:20,전라남도 광양시 금호동 803(126m 범위)
SB-000004,2026-08-12,5,6,18,08:41:22,전라남도 광양시 금호동 803(126m 범위),08:59:22,전라남도 광양시 태인동 1740(43m 범위)
SB-000004,2026-08-12,6,0,2,09:07:28,전라남도 광양시 태인동 1740(43m 범위),09:10:21,전라남도 광양시 태인동 1740(31m 범위)
SB-000004,2026-08-12,7,0,11,09:13:21,전라남도 광양시 태인동 1740(31m 범위),09:24:43,전라남도 광양시 태인동 1740(32m 범위)
SB-000004,2026-08-12,8,0,2,09:32:34,전라남도 광양시 태인동 1740(32m 범위),09:35:26,전라남도 광양시 태인동 1740(65m 범위)
SB-000004,2026-08-12,9,0,6,09:35:29,전라남도 광양시 태인동 1740(65m 범위),09:42:12,전라남도 광양시 태인동 1738(82m 범위)
SB-000004,2026-08-12,10,7,34,09:42:12,전라남도 광양시 태인동 1738(82m 범위),10:16:54,전라남도 광양시 금호동 803(114m 범위)
SB-000004,2026-08-12,11,11,48,10:16:57,전라남도 광양시 금호동 803(114m 범위),11:05:55,전라남도 광양시 금호동 657(98m 범위)
SB-000004,2026-08-12,12,1,19,11:07:10,전라남도 광양시 금호동 657(98m 범위),11:26:22,전라남도 광양시 금호동 803(87m 범위)
SB-000004,2026-08-12,13,9,29,11:26:25,전라남도 광양시 금호동 803(87m 범위),11:56:14,전라남도 광양시 금호동 657(19m 범위)
SB-000004,2026-08-12,14,0,0,12:04:13,전라남도 광양시 금호동 657(19m 범위),12:04:19,전라남도 광양시 금호동 657(10m 범위)
SB-000004,2026-08-12,15,9,45,12:06:53,전라남도 광양시 금호동 657(10m 범위),12:52:05,전라남도 광양시 도이동 832(158m 범위)
SB-000004,2026-08-12,16,9,50,13:03:19,전라남도 광양시 도이동 832(158m 범위),13:53:59,전라남도 광양시 금호동 803(124m 범위)
SB-000004,2026-08-12,17,4,13,13:54:01,주변에 검색된 지번이 없습니다,14:07:59,전라남도 광양시 태인동 산111-1(31m 범위)
SB-000004,2026-08-12,18,4,29,14:07:59,전라남도 광양시 태인동 산111-1(31m 범위),14:37:30,전라남도 광양시 금호동 656(227m 범위)
SB-000004,2026-08-12,19,2,14,14:58:39,전라남도 광양시 금호동 656(227m 범위),15:12:53,전라남도 광양시 금호동 803(86m 범위)
SB-000004,2026-08-12,20,5,29,15:12:55,전라남도 광양시 금호동 803(86m 범위),15:42:14,전라남도 광양시 태인동 1740(79m 범위)
SB-000004,2026-08-12,21,0,2,15:42:16,전라남도 광양시 태인동 1740(79m 범위),15:45:03,전라남도 광양시 태인동 1740(91m 범위)
SB-000004,2026-08-12,22,1,5,15:45:06,전라남도 광양시 태인동 1740(91m 범위),15:50:50,전라남도 광양시 태인동 1644-16(11m 범위)
SB-000004,2026-08-12,23,1,3,15:58:07,전라남도 광양시 태인동 1644-16(11m 범위),16:01:13,전라남도 광양시 태인동 1654-7(131m 범위)
SB-000005,2026-08-12,1,7,95,07:21:54,전라남도 광양시 태인동 1655(132m 범위),08:57:13,전라남도 광양시 금호동 803(118m 범위)
SB-000005,2026-08-12,2,7,21,08:57:59,전라남도 광양시 금호동 803(106m 범위),09:19:47,전라남도 광양시 태인동 1740(50m 범위)
SB-000005,2026-08-12,3,0,13,09:43:01,전라남도 광양시 태인동 1740(50m 범위),09:56:45,전라남도 광양시 태인동 1740(76m 범위)
SB-000005,2026-08-12,4,4,12,10:03:56,전라남도 광양시 태인동 1740(76m 범위),10:16:13,전라남도 광양시 금호동 658(106m 범위)
SB-000005,2026-08-12,5,0,0,10:16:16,전라남도 광양시 금호동 658(106m 범위),10:16:17,전라남도 광양시 금호동 658(106m 범위)
SB-000005,2026-08-12,6,4,19,10:32:36,전라남도 광양시 금호동 658(106m 범위),10:52:08,전라남도 광양시 금호동 803(83m 범위)
SB-000005,2026-08-12,7,16,63,10:52:40,전라남도 광양시 금호동 803(83m 범위),11:56:39,전라남도 광양시 금호동 803(80m 범위)
SB-000005,2026-08-12,8,5,14,11:57:32,전라남도 광양시 금호동 803(80m 범위),12:11:35,전라남도 광양시 태인동 1653-11(80m 범위)
SB-000005,2026-08-12,9,8,47,12:32:55,전라남도 광양시 태인동 1653-11(80m 범위),13:20:01,전라남도 광양시 금호동 803(74m 범위)
SB-000005,2026-08-12,10,5,25,13:20:33,전라남도 광양시 금호동 803(74m 범위),13:45:48,전라남도 광양시 태인동 343-7(17m 범위)
SB-000005,2026-08-12,11,0,1,13:51:49,전라남도 광양시 태인동 343-7(17m 범위),13:52:58,전라남도 광양시 태인동 309-3(5m 범위)
SB-000005,2026-08-12,12,6,28,13:56:33,전라남도 광양시 태인동 309-3(5m 범위),14:24:33,전라남도 광양시 금호동 803(96m 범위)
SB-000005,2026-08-12,13,10,25,14:25:03,전라남도 광양시 금호동 803(96m 범위),14:50:54,전라남도 광양시 금호동 658(105m 범위)
SB-000005,2026-08-12,14,4,29,15:13:38,전라남도 광양시 금호동 658(105m 범위),15:42:57,전라남도 광양시 금호동 803(74m 범위)
SB-000005,2026-08-12,15,6,19,15:44:37,전라남도 광양시 금호동 803(74m 범위),16:03:59,전라남도 광양시 태인동 1740(77m 범위)
SB-000005,2026-08-12,16,2,29,16:10:59,전라남도 광양시 태인동 1740(77m 범위),16:40:46,전라남도 광양시 태인동 1655(129m 범위)
SB-000006,2026-08-12,1,0,0,07:20:12,전라남도 광양시 태인동 1654-7(124m 범위),07:20:22,전라남도 광양시 태인동 1654-7(123m 범위)
SB-000006,2026-08-12,2,8,68,07:25:55,전라남도 광양시 태인동 1654-7(123m 범위),08:34:29,전라남도 광양시 금호동 803(98m 범위)
SB-000006,2026-08-12,3,6,18,08:35:33,전라남도 광양시 금호동 803(98m 범위),08:54:14,전라남도 광양시 태인동 1740(33m 범위)
SB-000006,2026-08-12,4,0,3,08:57:28,전라남도 광양시 태인동 1740(33m 범위),09:00:41,전라남도 광양시 태인동 1740(46m 범위)
SB-000006,2026-08-12,5,0,1,09:06:24,전라남도 광양시 태인동 1740(46m 범위),09:07:56,전라남도 광양시 태인동 1740(44m 범위)
SB-000006,2026-08-12,6,0,1,09:13:00,전라남도 광양시 태인동 1740(44m 범위),09:14:21,전라남도 광양시 태인동 1740(49m 범위)
SB-000006,2026-08-12,7,1,0,09:32:25,전라남도 광양시 태인동 1740(49m 범위),09:33:22,전라남도 광양시 태인동 1740(81m 범위)
SB-000006,2026-08-12,8,0,0,09:34:41,전라남도 광양시 태인동 1740(81m 범위),09:35:16,전라남도 광양시 태인동 1740(59m 범위)
SB-000006,2026-08-12,9,8,29,09:35:56,전라남도 광양시 태인동 1740(59m 범위),10:05:43,전라남도 광양시 금호동 803(117m 범위)
SB-000006,2026-08-12,10,5,15,10:06:25,전라남도 광양시 금호동 803(117m 범위),10:22:03,전라남도 광양시 태인동 1656-6(77m 범위)
SB-000006,2026-08-12,11,7,41,10:24:20,전라남도 광양시 태인동 1656-6(77m 범위),11:05:53,전라남도 광양시 금호동 803(103m 범위)
SB-000006,2026-08-12,12,7,32,11:06:38,전라남도 광양시 금호동 803(103m 범위),11:38:39,전라남도 광양시 태인동 1688(83m 범위)
SB-000006,2026-08-12,13,0,2,12:20:19,전라남도 광양시 태인동 1688(83m 범위),12:22:49,전라남도 광양시 태인동 1714(110m 범위)
SB-000006,2026-08-12,14,10,39,12:27:38,전라남도 광양시 태인동 1714(115m 범위),13:07:35,전라남도 광양시 금호동 803(118m 범위)
SB-000006,2026-08-12,15,13,48,13:08:15,전라남도 광양시 금호동 803(118m 범위),13:57:07,전라남도 광양시 금호동 803(95m 범위)
SB-000006,2026-08-12,16,14,72,13:57:53,전라남도 광양시 금호동 803(95m 범위),15:10:47,전라남도 광양시 금호동 803(109m 범위)
SB-000006,2026-08-12,17,7,19,15:11:54,전라남도 광양시 금호동 803(109m 범위),15:31:48,전라남도 광양시 태인동 1740(70m 범위)
SB-000006,2026-08-12,18,0,0,15:33:07,전라남도 광양시 태인동 1740(70m 범위),15:33:52,전라남도 광양시 태인동 1740(73m 범위)
SB-000006,2026-08-12,19,0,0,15:35:38,전라남도 광양시 태인동 1740(73m 범위),15:36:24,전라남도 광양시 태인동 1738(69m 범위)
SB-000006,2026-08-12,20,2,13,15:37:23,전라남도 광양시 태인동 1738(69m 범위),15:50:56,전라남도 광양시 태인동 1654-1(96m 범위)
SB-000006,2026-08-12,21,0,3,16:25:07,전라남도 광양시 태인동 1654-1(96m 범위),16:28:34,전라남도 광양시 태인동 1654-7(115m 범위)
SB-000007,2026-08-12,1,0,7,07:29:59,전라남도 광양시 태인동 1655(133m 범위),07:37:37,전라남도 광양시 태인동 1655(130m 범위)
SB-000007,2026-08-12,2,0,0,07:37:39,전라남도 광양시 태인동 1655(130m 범위),07:38:24,전라남도 광양시 태인동 1655(131m 범위)
SB-000007,2026-08-12,3,5,28,07:44:16,전라남도 광양시 태인동 1655(131m 범위),08:12:26,전라남도 광양시 금호동 656(200m 범위)
SB-000007,2026-08-12,4,2,6,08:21:29,전라남도 광양시 금호동 656(200m 범위),08:27:31,전라남도 광양시 금호동 803(102m 범위)
SB-000007,2026-08-12,5,6,16,08:28:14,전라남도 광양시 금호동 803(102m 범위),08:44:52,전라남도 광양시 태인동 1740(38m 범위)
SB-000007,2026-08-12,6,0,1,08:57:26,전라남도 광양시 태인동 1740(38m 범위),08:59:08,전라남도 광양시 태인동 1740(88m 범위)
SB-000007,2026-08-12,7,4,13,09:04:41,전라남도 광양시 태인동 1740(88m 범위),09:18:00,전라남도 광양시 금호동 658(127m 범위)
SB-000007,2026-08-12,8,4,16,09:25:37,전라남도 광양시 금호동 658(127m 범위),09:42:30,전라남도 광양시 금호동 803(103m 범위)
SB-000007,2026-08-12,9,6,14,09:43:03,전라남도 광양시 금호동 803(103m 범위),09:57:14,전라남도 광양시 태인동 1656-6(81m 범위)
SB-000007,2026-08-12,10,7,25,09:59:28,전라남도 광양시 태인동 1656-6(81m 범위),10:24:33,전라남도 광양시 금호동 803(85m 범위)
SB-000007,2026-08-12,11,1,41,10:25:03,전라남도 광양시 금호동 803(85m 범위),11:06:36,전라남도 광양시 금호동 632(330m 범위)
SB-000007,2026-08-12,12,1,2,11:12:25,전라남도 광양시 금호동 632(330m 범위),11:15:00,전라남도 광양시 금호동 656(195m 범위)
SB-000007,2026-08-12,13,2,4,11:28:12,전라남도 광양시 금호동 656(195m 범위),11:33:03,전라남도 광양시 금호동 803(108m 범위)
SB-000007,2026-08-12,14,6,18,11:34:20,전라남도 광양시 금호동 803(108m 범위),11:52:35,전라남도 광양시 태인동 1740(36m 범위)
SB-000007,2026-08-12,15,0,4,12:51:02,전라남도 광양시 태인동 1740(36m 범위),12:55:22,전라남도 광양시 태인동 1740(34m 범위)
SB-000007,2026-08-12,16,0,1,13:00:28,전라남도 광양시 태인동 1740(34m 범위),13:01:59,전라남도 광양시 태인동 1740(73m 범위)
SB-000007,2026-08-12,17,0,0,13:03:14,전라남도 광양시 태인동 1740(73m 범위),13:03:49,전라남도 광양시 태인동 1738(67m 범위)
SB-000007,2026-08-12,18,7,22,13:07:22,전라남도 광양시 태인동 1738(67m 범위),13:30:11,전라남도 광양시 금호동 634(103m 범위)
SB-000007,2026-08-12,19,1,2,13:41:01,전라남도 광양시 금호동 634(103m 범위),13:43:33,전라남도 광양시 금호동 803(95m 범위)
SB-000007,2026-08-12,20,5,15,13:44:35,전라남도 광양시 금호동 803(95m 범위),13:59:40,전라남도 광양시 태인동 309-2(24m 범위)
SB-000007,2026-08-12,21,0,0,14:02:13,전라남도 광양시 태인동 309-2(24m 범위),14:02:45,전라남도 광양시 태인동 306-20(8m 범위)
SB-000007,2026-08-12,22,4,28,14:05:41,전라남도 광양시 태인동 306-20(8m 범위),14:34:17,전라남도 광양시 금호동 631(405m 범위)
SB-000007,2026-08-12,23,0,1,14:50:41,전라남도 광양시 금호동 631(405m 범위),14:52:21,전라남도 광양시 금호동 631(397m 범위)
SB-000007,2026-08-12,24,0,0,14:52:21,전라남도 광양시 금호동 631(397m 범위),14:52:29,전라남도 광양시 금호동 631(396m 범위)
SB-000007,2026-08-12,25,0,14,14:57:55,전라남도 광양시 금호동 631(396m 범위),15:11:56,전라남도 광양시 금호동 631(321m 범위)
SB-000007,2026-08-12,26,1,3,15:17:42,전라남도 광양시 금호동 631(321m 범위),15:21:04,전라남도 광양시 금호동 657(66m 범위)
SB-000007,2026-08-12,27,2,17,15:28:31,전라남도 광양시 금호동 657(66m 범위),15:45:48,전라남도 광양시 금호동 803(113m 범위)
SB-000007,2026-08-12,28,6,16,15:46:42,전라남도 광양시 금호동 803(113m 범위),16:03:20,전라남도 광양시 태인동 1740(31m 범위)
SB-000007,2026-08-12,29,0,0,16:03:45,전라남도 광양시 태인동 1740(31m 범위),16:04:25,전라남도 광양시 태인동 1740(53m 범위)
SB-000007,2026-08-12,30,2,6,16:08:44,전라남도 광양시 태인동 1740(53m 범위),16:15:12,전라남도 광양시 태인동 1671(34m 범위)
SB-000007,2026-08-12,31,0,5,16:41:59,전라남도 광양시 태인동 1671(34m 범위),16:47:32,전라남도 광양시 태인동 1654-7(114m 범위)
SB-000008,2026-08-12,1,0,0,07:16:30,전라남도 광양시 태인동 1654-7(127m 범위),07:16:35,전라남도 광양시 태인동 1654-7(120m 범위)
SB-000008,2026-08-12,2,0,1,07:30:50,전라남도 광양시 태인동 1654-7(120m 범위),07:32:10,전라남도 광양시 태인동 1654-7(123m 범위)
SB-000008,2026-08-12,3,0,0,07:37:39,전라남도 광양시 태인동 1654-7(123m 범위),07:37:44,전라남도 광양시 태인동 1654-7(123m 범위)
SB-000008,2026-08-12,4,5,32,07:46:12,전라남도 광양시 태인동 1654-7(123m 범위),08:18:57,전라남도 광양시 금호동 657(108m 범위)
SB-000008,2026-08-12,5,26,101,08:31:53,전라남도 광양시 금호동 657(108m 범위),10:13:02,전라남도 광양시 금호동 636(325m 범위)
SB-000008,2026-08-12,6,29,110,10:38:31,전라남도 광양시 금호동 636(325m 범위),12:29:20,전라남도 광양시 도이동 832(72m 범위)
SB-000008,2026-08-12,7,31,189,13:03:01,전라남도 광양시 도이동 832(72m 범위),16:12:38,전라남도 광양시 태인동 1654-7(128m 범위)
SB-000009,2026-08-12,1,0,10,07:29:24,전라남도 광양시 태인동 1654-7(81m 범위),07:39:43,전라남도 광양시 태인동 1654-1(129m 범위)
SB-000009,2026-08-12,2,6,18,07:56:45,전라남도 광양시 태인동 1654-1(129m 범위),08:15:04,전라남도 광양시 금호동 656(137m 범위)
SB-000009,2026-08-12,3,0,0,08:15:15,전라남도 광양시 금호동 656(137m 범위),08:15:40,전라남도 광양시 금호동 656(150m 범위)
SB-000009,2026-08-12,4,1,7,08:29:41,전라남도 광양시 금호동 656(150m 범위),08:37:39,전라남도 광양시 금호동 803(88m 범위)
SB-000009,2026-08-12,5,6,15,08:38:21,전라남도 광양시 금호동 803(88m 범위),08:53:46,전라남도 광양시 태인동 1654-7(74m 범위)
